Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
17931007465,"Mar 31, 2026, 9:55:09 PM",Afternoon Skateboard,Skateboard,"",2336,2.15,174.0,42,,,,activities/17931007465.gpx,,,2336.0,1044.0,2154.3,5.52,2.064,0.0,0.0,244.6,246.1,15.6,0.0,,,,,174.0,150.0,,,,,,42.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922,0.0,,,,,0.0,,,,,,862.0,,,,,,,,,,""
17931017333,"Mar 31, 2026, 4:15:55 PM",Other Exercise,Workout,"",1980,0,125.0,6,,,,activities/19031043778.fit.gz,,,1980.0,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,125.0,108.0,,,,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17927316316,"Mar 31, 2026, 4:15:55 PM",Tuesday,Weight Training,"Tracked with Bevel

Deadlift · Barbell
• Warm up — 100 lbs × 12
• Set 1 — 100 lbs × 12

Pull Up · Bodyweight
• Warm up — 8 reps
• Set 1 — 25 lbs × 6
• Set 2 — 35 lbs × 5
• Set 3 — 35 lbs × 5

Bicep Curl · Dumbbell (Double)
• Warm up — 30 lbs × 10
• Set 1 — 25 lbs × 12
• Set 2 — 25 lbs × 10
• Set 3 — 20 lbs × 12 (Failure)
• Set 4 — 20 lbs × 12 (Failure)
• Set 5 — 20 lbs × 12 (Failure)",2100,0,125.0,7,,,,activities/19027324722.fit.gz,,,2100.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,125.0,109.0,,,,,,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17916795637,"Mar 30, 2026, 7:47:46 PM",Correr al aire libre,Run,"",1479,3.61,163.0,46,,,Saucony Triumph 20,activities/19016729024.fit.gz,,,1479.0,1199.0,3611.8,4.02,3.012,17.3,17.9,263.6,283.0,15.5,0.0,,,,,163.0,151.0,,17.0,304.0,,,46.0,,,,,,,,,10.0,1480.0,,,0.0,,1.0,3666.5,,,,,,,,,,,,,,,,24315239.0,,,,,,,,,,,2.442,75.4,,,,,0.0,,0.0,5.0,3.058,,,,,,,,,,,,""
17914466514,"Mar 30, 2026, 3:56:57 PM",Monday,Weight Training,"Registrado con Bevel

Press de banco Inclinado · Mancuerna (dos)
• Calentamiento — 45 lbs × 12
• Serie  1 — 75 lbs × 7
• Serie  2 — 70 lbs × 9
• Serie  3 — 70 lbs × 8
• Serie  4 — 65 lbs × 8 (Error)
• Serie  5 — 60 lbs × 10 (Error)

Extensiones de piernas · Máquina
• Serie  1 — 90 lbs × 12
• Serie  2 — 100 lbs × 12
• Serie  3 — 100 lbs × 12

Extensión de tríceps por encima de la cabeza · Polea con cable (simple)
• Serie  1 — 45 lbs × 10
• Serie  2 — 45 lbs × 14
• Serie  3 — 55 lbs × 10
• Serie  4 — 50 lbs × 10 (Error)
• Serie  5 — 50 lbs × 10 (Error)

Elevaciones laterales · Mancuerna (dos)
• Serie  1 — 20 lbs × 10
• Serie  2 — 20 lbs × 12
• Serie  3 — 20 lbs × 12",3420,0,126.0,11,,,,activities/19014398939.fit.gz,,,3420.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,126.0,106.0,,,,,,11.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17905511716,"Mar 29, 2026, 6:25:36 PM",Afternoon Skateboard,Skateboard,"",3843,3.92,169.0,49,,,,activities/17905511716.gpx,,,3843.0,1781.0,3925.0,6.36,2.204,0.0,0.0,244.9,246.2,16.1,0.0,,,,,169.0,142.0,,,,,,49.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.021,0.0,,,,,0.0,,,,,,1446.0,,,,,,,,,,""
17888462467,"Mar 28, 2026, 12:25:54 PM",Friday,Weight Training,"Tracked with Bevel

Face Pull · Cable (Single)
• Set 1 — 20 lbs × 20
• Set 2 — 30 lbs × 20
• Set 3 — 40 lbs × 20

Pull Up · Bodyweight
• Warm up — 5 reps
• Set 1 — 26 lbs × 5
• Set 2 — 26 lbs × 5
• Set 3 — 44 lbs × 5

Shoulder Shrug · Dumbbell (Double)
• Set 1 — 40 lbs × 20
• Set 2 — 50 lbs × 20
• Set 3 — 50 lbs × 20

Seated Cable Row · Cable (Single)
• Set 1 — 85 lbs × 12
• Set 2 — 85 lbs × 12
• Set 3 — 100 lbs × 10

Preacher Curl · Dumbbell (Double)
• Set 1 — 20 lbs × 12
• Set 2 — 20 lbs × 15
• Set 3 — 20 lbs × 12",2640,0,118.0,7,,,,activities/18988076438.fit.gz,,,2640.0,2640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,118.0,100.0,,,,,,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17872037561,"Mar 27, 2026, 12:36:10 AM",Nike Run Club: Another Mile Run,Run,"",667,1.61,165.0,26,,,Saucony Triumph 20,activities/18971548214.fit.gz,,,667.0,664.0,1618.2,3.2,2.437,14.0,15.0,303.4,315.4,42.0,0.0,,,93.0,76.0,165.0,151.0,,,130.0,,,26.0,,,,,,,,,,,,,0.0,,1.0,1832.5,,,,,,,,,,,,,,,,24315239.0,,,,,,,,,,,2.426,0.0,,,,1690.0,0.0,,,,2.76,,,,,,,,,,,,media/0109ab4d-556c-4f0e-9936-7c0c81dd453e.jpg
17871663137,"Mar 26, 2026, 11:39:58 PM",Evening Skateboard,Skateboard,"",1130,1.43,169.0,24,,,,activities/17871663137.gpx,,,1130.0,819.0,1429.7,5.3,1.746,0.0,0.0,308.4,308.8,3.0,0.0,,,,,169.0,144.0,,,,,,24.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265,0.0,,,,,0.0,,,,,,446.0,,,,,,,,,,""
17867140886,"Mar 26, 2026, 3:46:53 PM",Thursday,Weight Training,"Tracked with Bevel

Incline Bench Press · Barbell
• Warm up — 45 lbs × 12
• Set 1 — 60 lbs × 10
• Set 2 — 60 lbs × 9
• Set 3 — 65 lbs × 7

Reverse Lunge · Dumbbell (Double)
• Set 1 — 50 lbs × 10
• Set 2 — 60 lbs × 10
• Set 3 — 60 lbs × 10

Cable Crossover · Cable (Double)
• Set 1 — 120 lbs × 20
• Set 2 — 140 lbs × 12
• Set 3 — 160 lbs × 12

Tricep Dip · Bodyweight
• Warm up — 10 reps
• Set 1 — 35 lbs × 10
• Set 2 — 35 lbs × 8
• Set 3 — 45 lbs × 9

Overhead Triceps Extension · Cable (Single)
• Set 1 — 40 lbs × 10
• Set 2 — 40 lbs × 12
• Set 3 — 40 lbs × 12
• Set 4 — 35 lbs × 14 (Failure)",3180,0,137.0,13,,,,activities/18966703548.fit.gz,,,3180.0,3180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,137.0,113.0,,,,,,13.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
